human_symbol	yeast_sgd
9230	YER031C
9230	YFL005W
9230	YFL038C
9230	YGL210W
9367	YDR438W
9367	YLR293C
9367	YML001W
9367	YML018C
9367	YOR185C
94239	YOL012C
9545	YER031C
9545	YFL005W
9545	YFL038C
9545	YGL210W
9632	YHR098C
9632	YIL109C
9632	YNL049C
9704	YER013W
9704	YGL120C
9704	YKL078W
9704	YKR086W
9704	YNR011C
9785	YER013W
9785	YGL120C
9785	YKL078W
9785	YKR086W
9785	YNR011C
9871	YHR098C
9871	YIL109C
9871	YNL049C
989	YCR002C
989	YDL225W
989	YDR218C
989	YGR059W
989	YHR107C
989	YJR076C
989	YLR314C
AADAT	YGL202W
AAK1	YLR096W
AAMP	YIR012W
AAR2	YBL074C
AARS1	YOR335C
AARSD1	YNL040W
AATF	YDR299W
ABAT	YGR019W
ABBP-2	YLR090W
ABBP-2	YNL007C
ABBP-2	YNL064C
ABBP-2	YNL077W
ABCA10	YDR061W
ABCA6	YDR061W
ABCA8	YDR061W
ABCA9	YDR061W
ABCB1	YKL209C
ABCB10	YLR188W
ABCB10	YPL270W
ABCB11	YKL209C
ABCB4	YKL209C
ABCB5	YKL209C
ABCB7	YMR301C
ABCB9	YLR188W
ABCB9	YPL270W
ABCC1	YDR135C
ABCC10	YGR281W
ABCC11	YGR281W
ABCC2	YDR135C
ABCC3	YDR135C
ABCC6	YDR135C
ABCD1	YKL188C
ABCD1	YPL147W
ABCD2	YKL188C
ABCD2	YPL147W
ABCD3	YPL147W
ABCE1	YDR091C
ABCF2	YER036C
ABCF3	YFR009W
ABCG2	YCR011C
ABHD1	YBR177C
ABHD1	YMR210W
ABHD1	YPL095C
ABHD11	YGR031W
ABHD13	YNL320W
ABHD3	YBR177C
ABHD3	YMR210W
ABHD3	YPL095C
ABHD4	YDR125C
ABHD4	YGR110W
ABHD4	YLR099C
ABHD5	YDR125C
ABHD5	YDR531W
ABHD5	YGR110W
ABHD5	YLR099C
ABHD6	YNR064C
ABHYDROLASE DOMAIN-CONTAINING PROTEIN 4	YDR125C
ABHYDROLASE DOMAIN-CONTAINING PROTEIN 4	YDR531W
ABHYDROLASE DOMAIN-CONTAINING PROTEIN 4	YGR110W
ABT1	YNR054C
ABTB1	YIL001W
ACAA1	YIL160C
ACAA1	YOL072W
ACAA2	YOL072W
ACACA	YMR207C
ACACA	YNR016C
ACACB	YMR207C
ACACB	YNR016C
ACAT1	YOL072W
ACAT1	YPL028W
ACAT2	YOL072W
ACBD7	YGR037C
ACER3	YBR183W
ACER3	YPL087W
ACO2	YLR304C
ACOT8	YJR019C
ACOX1	YGL205W
ACOX2	YGL205W
ACP1	YPR073C
ACS1	YIL009W
ACSF2	YBR222C
ACSF3	YBR222C
ACSL1	YER015W
ACSL3	YIL009W
ACSL3	YMR246W
ACSL3	YOR317W
ACSL4	YIL009W
ACSL4	YMR246W
ACSL4	YOR317W
ACSL5	YER015W
ACSL6	YER015W
ACSS1	YAL054C
ACSS1	YLR153C
ACSS2	YAL054C
ACSS2	YLR153C
ACTA1	YFL039C
ACTA2	YFL039C
ACTB	YFL039C
ACTB	YHR129C
ACTBL2	YFL039C
ACTC1	YFL039C
ACTG1	YFL039C
ACTG1	YHR129C
ACTG2	YFL039C
ACTR1A	YHR129C
ACTR1B	YHR129C
ACTR2	YDL029W
