target_id	target_family	model_direction_score
OR51B2	gpcr	0.4058
OR1R1	gpcr	
OR5D3	gpcr	
OR5BS1	gpcr	
OR51C1	gpcr	
OR2M5	gpcr	0.345
OR6C74	gpcr	0.3695
OR5H15	gpcr	0.3243
OR6C68	gpcr	0.3612
OR5K3	gpcr	0.3761
OR6C6	gpcr	0.4062
OR2W5P	gpcr	
OR4C46	gpcr	0.3774
OR5H14	gpcr	0.4176
OR6C70	gpcr	0.3663
OR6C65	gpcr	0.3518
OR5H1	gpcr	0.4242
OR6C75	gpcr	0.3834
OR5B21	gpcr	0.3369
OR2AG2	gpcr	0.3357
OR6C76	gpcr	0.3575
OR5K4	gpcr	0.3636
OR52A4P	gpcr	
OR4C45	gpcr	0.3909
OR11H12	gpcr	0.3778
P2RY10	gpcr	0.3898
OR7A17	gpcr	0.4297
RRH	gpcr	0.3652
OR2T1	gpcr	0.3876
OR10H2	gpcr	0.3783
OR10H3	gpcr	0.3763
OR1I1	gpcr	0.3679
OR2B3	gpcr	0.4135
OR7A10	gpcr	0.3866
OR2F2	gpcr	0.35
OR4F21	gpcr	0.3838
OR5F1	gpcr	0.4012
OR4A8	gpcr	0.4411
OR5AL1	gpcr	0.3965
OR4Q2	gpcr	0.3965
OR5G3	gpcr	0.3664
OR5AC1	gpcr	0.4216
OR10J4	gpcr	0.3826
OR52Z1P	gpcr	
OR8U8	gpcr	
OR2T7	gpcr	0.3881
OR56A5	gpcr	0.4489
OR8G3	gpcr	
OR5H8	gpcr	0.3696
OR12D1	gpcr	0.4113
NPY4R2	gpcr	0.3628
MAS1L	gpcr	0.3941
OR3A1	gpcr	0.4021
OR1D4	gpcr	0.3651
OR1D5	gpcr	0.3625
OR4D2	gpcr	0.4142
OR10A3	gpcr	0.4165
TAS2R41	gpcr	0.3954
TAS2R45	gpcr	
TAS2R30	gpcr	0.3904
TAS2R50	gpcr	0.3878
TAS2R60	gpcr	0.3779
OR2B8	gpcr	
OR4D1	gpcr	0.4152
OR1C1	gpcr	0.403
OR7A5	gpcr	0.4007
OR2B11	gpcr	0.3922
OR10J3	gpcr	0.3568
OR2G6	gpcr	0.3121
GPR157	gpcr	0.4202
OR5M10	gpcr	0.405
OR4C11	gpcr	0.3656
OR4F3	gpcr	
OR2T5	gpcr	0.3679
OR2T2	gpcr	0.381
OR8G2P	gpcr	
OR2A2	gpcr	0.3568
OR52W1	gpcr	0.3512
OR4A47	gpcr	0.3925
OR10K2	gpcr	0.3854
OR52E8	gpcr	0.427
OR6B2	gpcr	0.3916
OR7E24	gpcr	0.3779
GPR153	gpcr	0.3565
OR9H1	gpcr	
MRGPRG	gpcr	0.4198
OR4N5	gpcr	0.3842
OR4N4	gpcr	0.3995
OR8I2	gpcr	0.3928
OR5AS1	gpcr	0.3816
