target_id	model_direction_score	models_used	gene	statistical_state_effect	direction_agrees
DENND1B	0.3697	scfoundation	DENND1B	-0.5227896290210385	False
PHGR1	0.4544	scfoundation	PHGR1	-0.5225986251413512	False
PLCE1	0.396	scfoundation	PLCE1	-0.5139767938138295	False
IQCM	0.4113	scfoundation	IQCM	-0.51105335901957	False
MAST2	0.3813	scfoundation	MAST2	-0.5052049367999037	False
PAG1	0.3781	scfoundation	PAG1	-0.5032905077096075	False
EPS8	0.3889	scfoundation	EPS8	-0.5030130281423529	False
PARD3	0.4024	scfoundation	PARD3	-0.5028841011226177	False
ZSWIM6	0.3561	scfoundation	ZSWIM6	-0.4994254149496555	False
FOXO1	0.3774	scfoundation	FOXO1	-0.4958250432585677	False
NXPE1	0.3808	scfoundation	NXPE1	-0.4884916555408078	False
EXOC6B	0.3782	scfoundation	EXOC6B	-0.486897607333958	False
ZZEF1	0.4221	scfoundation	ZZEF1	-0.4858831192056337	False
AHCYL2	0.4227	scfoundation	AHCYL2	-0.484428722721835	False
SH3RF1	0.3724	scfoundation	SH3RF1	-0.481932056757311	False
MS4A12	0.4015	scfoundation	MS4A12	-0.4806104448119489	False
KDM4C	0.3881	scfoundation	KDM4C	-0.4794483215858539	False
PDLIM5	0.4003	scfoundation	PDLIM5	-0.479143894277513	False
THSD4	0.4313	scfoundation	THSD4	-0.4785875314846636	False
PLPP1	0.3635	scfoundation	PLPP1	-0.4775678371079265	False
RBM47	0.3806	scfoundation	RBM47	-0.4764977712184191	False
ANK3	0.3456	scfoundation	ANK3	-0.4762752630437413	False
USP53	0.3773	scfoundation	USP53	-0.4723523687571286	False
GRAMD2B	0.4252	scfoundation	GRAMD2B	-0.472204500886922	False
PLS1	0.351	scfoundation	PLS1	-0.4716688736031452	False
EFNA5	0.4382	scfoundation	EFNA5	-0.4713243607451052	False
SLC2A13	0.4086	scfoundation	SLC2A13	-0.4626393572737773	False
EXOC4	0.3851	scfoundation	EXOC4	-0.4616685391714176	False
AKAP13	0.4108	scfoundation	AKAP13	-0.4611096791923046	False
HNF4G	0.3989	scfoundation	HNF4G	-0.4595229319917658	False
FBXL17	0.3812	scfoundation	FBXL17	-0.4585270875444014	False
SLC26A3	0.3746	scfoundation	SLC26A3	-0.4581225545456013	False
MYO1E	0.3967	scfoundation	MYO1E	-0.4579326262076695	False
ETNK1	0.3676	scfoundation	ETNK1	-0.457138835452497	False
SEMA6A	0.3659	scfoundation	SEMA6A	-0.4545912633960445	False
RAPGEF5	0.351	scfoundation	RAPGEF5	-0.4496567250850301	False
PPARG	0.403	scfoundation	PPARG	-0.4494714581718046	False
LGALS3	0.3917	scfoundation	LGALS3	-0.4483167538419366	False
TCF12	0.4027	scfoundation	TCF12	-0.4480753056704997	False
PPP1R12B	0.4048	scfoundation	PPP1R12B	-0.4475758229382335	False
ERBIN	0.3443	scfoundation	ERBIN	-0.4457672946155072	False
TOX	0.3869	scfoundation	TOX	-0.4455274489397804	False
CPM	0.3761	scfoundation	CPM	-0.4420869939494878	False
TXNIP	0.4223	scfoundation	TXNIP	-0.4414127265724042	False
VTI1A	0.3762	scfoundation	VTI1A	-0.4413244280343255	False
TBC1D22A	0.273	scfoundation	TBC1D22A	-0.4400676557173332	False
CEACAM1	0.423	scfoundation	CEACAM1	-0.4387032484325269	False
CNTN4	0.3379	scfoundation	CNTN4	-0.4378577969231021	False
ARID1B	0.4001	scfoundation	ARID1B	-0.4375181710347532	False
SIK3	0.3711	scfoundation	SIK3	-0.436548818834126	False
KIF13B	0.3627	scfoundation	KIF13B	-0.4356931131333111	False
MOB3B	0.4088	scfoundation	MOB3B	-0.4344810540011773	False
MCU	0.4063	scfoundation	MCU	-0.4319205426921447	False
SIPA1L3	0.3582	scfoundation	SIPA1L3	-0.4287329514821371	False
MXI1	0.3618	scfoundation	MXI1	-0.4266248482357089	False
NCOA2	0.4148	scfoundation	NCOA2	-0.4262339010213812	False
EPB41L3	0.4108	scfoundation	EPB41L3	-0.4251692681282293	False
MICAL2	0.3686	scfoundation	MICAL2	-0.4248416656628251	False
CLIC5	0.42	scfoundation	CLIC5	-0.4243262582458556	False
ETV6	0.3959	scfoundation	ETV6	-0.4198684850707651	False
DOCK1	0.3902	scfoundation	DOCK1	-0.4196657675007977	False
PLAC8	0.3442	scfoundation	PLAC8	-0.4196368377306498	False
TMPRSS2	0.3606	scfoundation	TMPRSS2	-0.4191607438648741	False
KAZN	0.3958	scfoundation	KAZN	-0.4181694118306041	False
AFF1	0.3704	scfoundation	AFF1	-0.4173056095217665	False
PLEKHA7	0.3891	scfoundation	PLEKHA7	-0.4160185145835081	False
FOXN3	0.4002	scfoundation	FOXN3	-0.4154380156348149	False
TMEM131	0.3886	scfoundation	TMEM131	-0.4149676390613119	False
IQGAP2	0.3666	scfoundation	IQGAP2	-0.4148362685615818	False
PICALM	0.3876	scfoundation	PICALM	-0.4133227582400043	False
DENND1A	0.3835	scfoundation	DENND1A	-0.4123737926905354	False
PAPSS2	0.3899	scfoundation	PAPSS2	-0.4108830811455845	False
