target_id	model_direction_score	models_used
GPR37L1	0.3422	scfoundation
GPR39	0.4085	scfoundation
GPR4	0.4024	scfoundation
GPR42	0.3729	scfoundation
GPR50	0.4007	scfoundation
GPR52	0.3866	scfoundation
GPR55	0.3609	scfoundation
GPR6	0.3297	scfoundation
GPR61	0.3935	scfoundation
GPR62	0.4364	scfoundation
GPR63	0.3449	scfoundation
GPR65	0.3712	scfoundation
GPR68	0.3723	scfoundation
GPR75	0.3761	scfoundation
GPR78	0.413	scfoundation
GPR82	0.4064	scfoundation
GPR83	0.3689	scfoundation
GPR84	0.3812	scfoundation
GPR85	0.4116	scfoundation
GPR87	0.335	scfoundation
GPR88	0.3802	scfoundation
GPRC5A	0.3573	scfoundation
GPRC5B	0.4013	scfoundation
GPRC5C	0.3876	scfoundation
GPRC5D	0.383	scfoundation
GPRC6A	0.3778	scfoundation
GRIA1	0.3675	scfoundation
GRIA2	0.4449	scfoundation
GRIA3	0.3904	scfoundation
GRIA4	0.3999	scfoundation
GRID1	0.4162	scfoundation
GRID2	0.3715	scfoundation
GRIK1	0.3956	scfoundation
GRIK2	0.3962	scfoundation
GRIK3	0.4029	scfoundation
GRIK4	0.3797	scfoundation
GRIK5	0.3969	scfoundation
GRIN1	0.3738	scfoundation
GRIN2A	0.3562	scfoundation
GRIN2B	0.3528	scfoundation
GRIN2C	0.4036	scfoundation
GRIN2D	0.3119	scfoundation
GRIN3A	0.412	scfoundation
GRIN3B	0.3893	scfoundation
GRM1	0.3914	scfoundation
GRM2	0.3924	scfoundation
GRM3	0.3812	scfoundation
GRM4	0.3894	scfoundation
GRM5	0.4056	scfoundation
GRM6	0.426	scfoundation
GRM7	0.3979	scfoundation
GRM8	0.3685	scfoundation
GRPR	0.3776	scfoundation
HCAR1	0.3705	scfoundation
HCAR2	0.3912	scfoundation
HCAR3	0.4031	scfoundation
HCN1	0.4046	scfoundation
HCN2	0.3409	scfoundation
HCN3	0.3816	scfoundation
HCN4	0.3543	scfoundation
HCRTR1	0.3948	scfoundation
HCRTR2	0.4366	scfoundation
HRH1	0.3741	scfoundation
HRH2	0.3863	scfoundation
HRH3	0.3937	scfoundation
HRH4	0.4009	scfoundation
HTR1A	0.4179	scfoundation
HTR1B	0.3657	scfoundation
HTR1D	0.4214	scfoundation
HTR1E	0.4043	scfoundation
HTR1F	0.3837	scfoundation
HTR2A	0.3784	scfoundation
HTR2B	0.4047	scfoundation
HTR2C	0.394	scfoundation
HTR3A	0.4058	scfoundation
HTR3B	0.3832	scfoundation
HTR3C	0.3811	scfoundation
HTR3D	0.4001	scfoundation
HTR3E	0.4033	scfoundation
HTR4	0.3556	scfoundation
HTR5A	0.3619	scfoundation
HTR6	0.3675	scfoundation
HTR7	0.3609	scfoundation
HVCN1	0.3564	scfoundation
ITPR1	0.4293	scfoundation
ITPR2	0.4039	scfoundation
ITPR3	0.3682	scfoundation
KCNA1	0.3538	scfoundation
KCNA10	0.4308	scfoundation
