inchikey	molecule_chembl_id	target_chembl_id	target_gene	pchembl
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4358	ALOX15	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4644	MC3R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4644	MC3R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL259	MC4R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL259	MC4R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4608	MC5R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4608	MC5R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1951	MAOA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1951	MAOA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL216	CHRM1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL216	CHRM1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL211	CHRM2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL211	CHRM2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL245	CHRM3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL245	CHRM3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1821	CHRM4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1821	CHRM4	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2035	CHRM5	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL2035	CHRM5	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4777	NPY1R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4777	NPY1R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4018	NPY2R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4018	NPY2R	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3048	Nos1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3048	Nos1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3464	Nos2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3464	Nos2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL236	OPRD1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL236	OPRD1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL237	OPRK1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL237	OPRK1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL233	OPRM1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL233	OPRM1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1827	PDE5A	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1827	PDE5A	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL250	PTAFR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL250	PTAFR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL612545		
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL240	KCNH2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL240	KCNH2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1909044	PGR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1909044	PGR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4074	ACE	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4074	ACE	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4801	CASP1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4801	CASP1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4071	CTSG	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4071	CTSG	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL248	ELANE	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL248	ELANE	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL332	MMP1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL332	MMP1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL321	MMP9	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL321	MMP9	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL299	PRKCA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL299	PRKCA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3385	MAPK3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL3385	MAPK3	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4040	MAPK1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4040	MAPK1	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL260	MAPK14	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL260	MAPK14	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4445	PPP3CA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL4445	PPP3CA	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL203	EGFR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL203	EGFR	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1841	FYN	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1841	FYN	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1824	ERBB2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL1824	ERBB2	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL258	LCK	
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	CHEMBL258	LCK	
