tier	priority	inchikey	chembl_id	task_target	family	rho	q	dose_uM	smiles	orf	task_rank	task_cosine	compound_z	library_reference	predicted_direction	control_role	compound_name	gene_common_name	essentiality	strain_collection	pair_id
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YBR126W-A	4	0.96038		not_quantified_in_library		top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YNL024C-A	5	0.9582	-0.09932056069374084	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	KSH1	essential	heterozygous diploid deletion (HIP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YLR091W	6	0.95761	0.10871481150388718	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	GEP5	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YHR193C-A	7	0.95511		not_quantified_in_library		top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YPL096C-A	8	0.95281	0.13339774310588837	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	ERI1	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YDR281C	9	0.9515	0.021091550588607788	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	PHM6	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YOL024W	10	0.95071	0.3284342885017395	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YCR082W	11	0.95024	0.00017696607392281294	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	AHC2	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YPL257W	12	0.94958	-0.06121555715799332	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YDR260C	13	0.94934	0.10404930263757706	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	SWM1	nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YOL131W	14	0.94917	0.15888291597366333	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		nonessential	homozygous diploid deletion (HOP-type)	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YCL021W-A	15	0.949	-0.038854144513607025	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YFR035W-A	6729	0.2747		not_quantified_in_library		bottom_task_control	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YNL155C-A	6730	0.2747		not_quantified_in_library		bottom_task_control	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YNL040C-A	6731	0.2747		not_quantified_in_library		bottom_task_control	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
