inchikey	n_sig_tasks	n_tier1	n_tier2	n_tier3	max_rho	min_q	chembl_id	n_chembl_genes	top_chembl_genes	smiles
CHWSEMMNBNNBCX-UHFFFAOYSA-N	1	0	0	1	0.0408772035288268	0.0		0		
CJVRMJIOBJQEAV-UHFFFAOYSA-N	1	0	1	0	0.0507924133771275	0.0	CHEMBL1405491	4	ampC Impa1 SMN1 SMN2 CBX1	
CSYSCLOUUBNKJL-UHFFFAOYSA-N	6	0	0	6	0.026031711218419	0.0		0		
CVTKOXCKAZRIDC-UHFFFAOYSA-N	1	0	0	1	0.0586078248061203	0.0		0		
CYDNVPBCTRKOLN-UHFFFAOYSA-N	10	0	0	10	0.0934863298433726	0.0		0		
CZBJNAZRHZAZOF-UHFFFAOYSA-N	1	0	0	1	0.0377087695807207	0.0		0		
DANUORFCFTYTSZ-SJSJOXFOSA-N	1	0	1	0	0.0528153049698973	0.0	CHEMBL405862	0	ABC1	
DBGYRGHNQNOOTO-UHFFFAOYSA-N	10	0	0	10	0.0274988188299389	0.0		0		
DCECXXVEKNNRNY-UHFFFAOYSA-N	18	0	0	18	0.079062915097372	0.0		0		
DCOARUMNUITJLW-UHFFFAOYSA-N	15	0	0	15	0.0323719877831964	0.0		0		
DEKAKJHJLZRBKP-UHFFFAOYSA-N	3	0	0	3	0.2283278039870225	0.0		0		
DFPOSXWTELBMJW-UHFFFAOYSA-N	2	0	0	2	0.0394381267722956	0.0		0		
DGIRKZZBAKFESB-UHFFFAOYSA-N	5	0	0	5	0.0607793580690684	0.0		0		
DGQLVPJVXFOQEV-NGOCYOHBSA-N	21	0	21	0	0.2445522060077479	0.0	CHEMBL1366408	20	HSD17B10 TDP1 APEX1 MAPK1 Impa1	
DIEQOSBXUNYSPY-UHFFFAOYSA-N	1	0	0	1	0.0242817226887073	0.0		0		
DIXVUMFALGTULE-ALCCZGGFSA-N	178	0	0	178	0.0452200165148027	0.0		0		
DJBUQFJJIBQYJP-UHFFFAOYSA-N	9	0	0	9	0.0407645969008842	0.0		0		
DLHRPFVERCOHRS-UHFFFAOYSA-N	51	0	0	51	0.035908692903863	0.0		0		
DMUXQAWNZOPFFV-UHFFFAOYSA-N	2	0	0	2	0.105625416630342	0.0		0		
DMXJRHDFHFHZOF-LICLKQGHSA-N	13	0	0	13	0.0554087223790506	0.0		0		
DNJVYWXIDISQRD-ZCGYEUDWSA-N	5	0	0	5	0.0203012992313008	0.0		0		
DOQVSAYUXANHAE-UHFFFAOYSA-N	8	0	0	8	0.0377547055575821	0.0		0		
DPHMNQSMRGXMGQ-UHFFFAOYSA-N	1	0	0	1	0.0161018387248285	0.0		0		
DQQQXXNDHIYTLC-UHFFFAOYSA-N	1	0	0	1	0.0239123896925994	0.0		0		
DQWQITFUWFBXON-UHFFFAOYSA-N	9	0	9	0	0.0270646144434737	0.0	CHEMBL1556914	23	PTPN11 TDP1 ALOX15 MAPT HSD17B10	
DTQIEGZLOXESHQ-UHFFFAOYSA-N	4	0	0	4	0.126320276087427	0.0		0		
DVLCEUQRUGECJX-UHFFFAOYSA-N	2	0	0	2	0.0759195062347473	0.0		0		
DWFFQTLGAYSOJO-UHFFFAOYSA-N	55	0	0	55	0.0230649450268031	0.0		0		
DXKYCRWEFUUADQ-UHFFFAOYSA-N	4	0	0	4	0.0326972468356392	0.0		0		
DZJNBSVRWKLBRF-ICKRUQPGSA-N	1	0	1	0	0.03743143502345	0.0	CHEMBL1958107	0	F2	
FBLAHUMENIHUGG-UHFFFAOYSA-N	14	0	0	14	0.0433566873504639	0.0		0		
FCDLCPWAQCPTKC-UHFFFAOYSA-N	2	0	2	0	0.081778959281036	0.0	CHEMBL418068	42	TDP1 ache FTO SMN2 SMN1	
FEDHEIMYWLVVRS-UHFFFAOYSA-N	6	0	0	6	0.0266714483305297	0.0		0		
FHGIYKZDHZKFAJ-UHFFFAOYSA-N	8	0	0	8	0.0983426104123447	0.0		0		
FIDFPPCQIWKPRK-UHFFFAOYSA-N	7	0	0	7	0.0740326764449069	0.0		0		
FLSGWAKDRPGHJD-LICLKQGHSA-N	9	0	0	9	0.056234876969982	0.0		0		
FNIJWCUPMHCILC-UHFFFAOYSA-N	30	0	0	30	0.0470426977814205	0.0		0		
FOAONBQCGRKHOS-UHFFFAOYSA-N	1	0	1	0	0.1125053642135574	0.0	CHEMBL1562612	7	IDO1 CYP2C19 CYP1A2 Ido1 CYP2D6	
FPKFMIHJPUIGST-UHFFFAOYSA-N	25	0	0	25	0.0486201757056659	0.0		0		
FQLPGRTTWAZLNW-UHFFFAOYSA-N	1	0	0	1	0.0911641114253665	0.0		0		
FQRLGZIGRMSTAX-OLZOCXBDSA-N	1	0	1	0	0.0914457068293595	0.0	CHEMBL282583	1	Rnpep Lnpep	
