inchikey	chembl_id	task_target	family	dose	rho	q	tier	pchembl_task	n_chembl_genes	smiles
PQYOPBRFUUEHRC-MUJQFDPKSA-N		ACKR4	gpcr	11.19	0.0427095998264414	0.0	3		0	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
TTXYDMVOVAJTCI-UHFFFAOYSA-N		ACKR4	gpcr	114.0	0.0397070121316277	0.0	3		0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
FZYOVNIOYYPUPY-AMSHPFMVSA-N		ADGRA1	gpcr	24.3	0.0340655007492473	0.0	3		0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
OPDBGPSIRGGXRM-UHFFFAOYSA-N		ADGRA1	gpcr	45.19	0.0335132429569316	0.0	3		0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
CYDNVPBCTRKOLN-UHFFFAOYSA-N		ADGRA1	gpcr	177.0	0.0286476428404154	0.0	3		0	CCOC(=O)C1=C(C2=CC(=CC(=C2N=C1)C)Cl)NCCCOC
AYGGQJHJRFZDFH-UHFFFAOYSA-N	CHEMBL374740	ADGRA1	gpcr	48.84	0.0282037504466481	0.0	2		18	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
XFSHOUNLXGXSBL-UHFFFAOYSA-N		ADGRA1	gpcr	71.43	0.0262505699837057	0.0	3		0	C1=CC(=CC(=C1)F)NC(=O)CSC2=CC=C(C=C2)F
FZYOVNIOYYPUPY-AMSHPFMVSA-N		ADGRA2	gpcr	24.3	0.048205660180016	0.0	3		0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
YEASPBADKSMHDK-UHFFFAOYSA-N		ADGRA2	gpcr	37.0	0.0377371026500412	0.0	3		0	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
AYGGQJHJRFZDFH-UHFFFAOYSA-N	CHEMBL374740	ADGRA2	gpcr	48.84	0.0338699735444283	0.0	2		18	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
OPDBGPSIRGGXRM-UHFFFAOYSA-N		ADGRA2	gpcr	45.19	0.0329908685023852	0.0	3		0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
QXIOSDBURWNOSL-UHFFFAOYSA-N	CHEMBL2440210	ADGRA3	gpcr	31.5	0.0357178272920735	0.0	2		1	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
QXIOSDBURWNOSL-UHFFFAOYSA-N	CHEMBL2440210	ADGRB1	gpcr	31.5	0.0343449159715904	0.0	2		1	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
KNMBHGSZDTURIO-UHFFFAOYSA-N		ADGRB1	gpcr	243.0	0.0317438281680284	0.0	3		0	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
KPJKWKUDBQQILH-UHFFFAOYSA-N	CHEMBL3186773	ADGRB1	gpcr	2.12	0.0315975588204246	0.0	2		1	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
OPDBGPSIRGGXRM-UHFFFAOYSA-N		ADGRB1	gpcr	45.19	0.0313753168259857	0.0	3		0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
JAMQLJVXPNHYPI-UHFFFAOYSA-N		ADGRB1	gpcr	94.6	0.0302053083613272	0.0	3		0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
QXIOSDBURWNOSL-UHFFFAOYSA-N	CHEMBL2440210	ADGRB2	gpcr	31.5	0.0374018904654811	0.0	2		1	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
CGDKYDPBMZLPSG-UHFFFAOYSA-N		ADGRB2	gpcr	49.85	0.0320783398390697	0.0	3		0	C1=CC(=CN=C1)C(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F
LYPJVUYYJLQGMG-UHFFFAOYSA-N	CHEMBL1716713	ADGRB3	gpcr	78.1	0.0430594220462906	0.0	2		7	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
QZESEGHSLFKZIV-UHFFFAOYSA-N	CHEMBL242172	ADGRD2	gpcr	928.26	0.0567750401668291	0.0	2		18	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
MGWUMZFAYGKELJ-JXMROGBWSA-N		ADGRD2	gpcr	29.05	0.0561786275872902	0.0	3		0	CSC1=CC=C(C=C1)C=CC(=O)C2=CC(=CC=C2)N
TUTVDOPAKOUNQV-UHFFFAOYSA-N		ADGRD2	gpcr	71.4	0.0559727131060063	0.0	3		0	CC1=CC2=C(C=C1)N=C(N2)C3=CC=CC=C3
FZYOVNIOYYPUPY-AMSHPFMVSA-N		ADGRD2	gpcr	24.3	0.0541068823970269	0.0	3		0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
WQBTXZKCJCWVCI-UHFFFAOYSA-N		ADGRD2	gpcr	19.48	0.0537230108650964	0.0	3		0	COC1=C(C=C(C=C1)C(F)(F)F)NC(=O)CCC2=CC=CC=C2
SDUQYLNIPVEERB-QPPQHZFASA-N	CHEMBL888	ADGRD2	gpcr	100.0	0.0513232357891349	0.0	2		118	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
OPDBGPSIRGGXRM-UHFFFAOYSA-N		ADGRD2	gpcr	45.19	0.0508774264689972	0.0	3		0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
ZKDHPMYHSXIDJT-UHFFFAOYSA-N		ADGRD2	gpcr	25.97	0.0504182549969364	0.0	3		0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
NWFAJOGQUGZVOS-UHFFFAOYSA-N	CHEMBL1428361	ADGRD2	gpcr	16.0	0.0503862736592278	0.0	2		9	C1=CC(=CC=C1O)OC2=C(C=C(C=N2)Cl)Cl
JTUGZBGALMZRJN-UHFFFAOYSA-N		ADGRD2	gpcr	197.44	0.0493393067539653	0.0	3		0	CC(=O)N(C1=CC=CC=N1)C2=NCC(=C)S2
QJJXYPPXXYFBGM-KVDYWLTISA-N		ADGRD2	gpcr	29.8	0.0482889675745594	0.0	3		0	CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
DCECXXVEKNNRNY-UHFFFAOYSA-N		ADGRD2	gpcr	57.7	0.0477407782139795	0.0	3		0	C1=CC=C2C(=C1)C=CC=C2C3C(=C(OC4=C3OC(=CC4=O)CO)N)C#N
LRKFCELHJPQGDJ-UHFFFAOYSA-N		ADGRD2	gpcr	200.0	0.0476330514944107	0.0	3		0	CC1=CC(=C(C=C1)OCCN)C.Cl
PRAUVHZJPXOEIF-VGKQSNDQSA-N		ADGRD2	gpcr	73.48	0.0476318333177834	0.0	3		0	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O
NQPDXQQQCQDHHW-UHFFFAOYSA-N	CHEMBL1086440	ADGRD2	gpcr	3.09	0.0464910105480727	0.0	2		29	CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl
UWMPKFYTOZOTPE-UHFFFAOYSA-N	CHEMBL1461419	ADGRD2	gpcr	54.6	0.0461769559917048	0.0	2		17	CC1=CC2=C(C=C1)N3CCN(C4C3=C2CCC4)C(=O)CN5CCN(CC5)C
QUBDRNPPXABSBC-UHFFFAOYSA-N		ADGRD2	gpcr	49.47	0.0452932297146896	0.0	3		0	CC1=CC=C(C=C1)C2=C(SC(=C2C(=O)N)NC(=O)C3=CN=CC=C3)C
XEOWIRGIROIBPD-UHFFFAOYSA-N		ADGRD2	gpcr	19.2	0.0438033244590378	0.0	3		0	CC1=C(C(=O)OC2=C1C=CC(=C2)O)C3=CC=CC=C3Cl
TZAGWNOMRDGTBS-UHFFFAOYSA-N		ADGRD2	gpcr	200.0	0.0436301500976887	0.0	3		0	CC(=O)NC1C2=C(C=CC(=C2)Cl)N(C1=O)C
CYDNVPBCTRKOLN-UHFFFAOYSA-N		ADGRD2	gpcr	177.0	0.0429987177362575	0.0	3		0	CCOC(=O)C1=C(C2=CC(=CC(=C2N=C1)C)Cl)NCCCOC
RODXRVNMMDRFIK-UHFFFAOYSA-N	CHEMBL71851	ADGRD2	gpcr	1.73	0.0421674508885651	0.0	2		72	COC1=C(C=C2C(=C1)C=CC(=O)O2)O
KPJKWKUDBQQILH-UHFFFAOYSA-N	CHEMBL3186773	ADGRE1	gpcr	2.12	0.0268777056515554	0.0	2		1	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHEMBL58	ADGRE1	gpcr	164.41	0.0229876404057651	0.0	2		251	C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
UTERTIQWWDNHQO-UHFFFAOYSA-N		ADGRE2	gpcr	58.44	0.0236994410700454	0.0	3		0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
RGQKUDZLVIUXJR-UHFFFAOYSA-N		ADGRE2	gpcr	49.47	0.0210459065461567	0.0	3		0	CCCC1=CC(=CS1)C(=O)N2CCN(CC2)CC3=CC=CC=C3
XFSHOUNLXGXSBL-UHFFFAOYSA-N		ADGRE2	gpcr	71.43	0.0204070770646565	0.0	3		0	C1=CC(=CC(=C1)F)NC(=O)CSC2=CC=C(C=C2)F
HLRFUTRZDZOVDA-UHFFFAOYSA-N	CHEMBL1722204	ADGRE2	gpcr	200.0	0.0202053287692743	0.0	2		2	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
JKNIBRIKXPAWMV-UHFFFAOYSA-N		ADGRE2	gpcr	71.43	0.0199751173756744	0.0	3		0	COC(=O)C1=CC=C(C=C1)NC(=O)CSC2=CC(=CC=C2)Cl
FZYOVNIOYYPUPY-AMSHPFMVSA-N		ADGRE2	gpcr	24.3	0.0198370735650809	0.0	3		0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
QZESEGHSLFKZIV-UHFFFAOYSA-N	CHEMBL242172	ADGRE2	gpcr	928.26	0.0189426541023388	0.0	2		18	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
JAMQLJVXPNHYPI-UHFFFAOYSA-N		ADGRE2	gpcr	94.6	0.0188451033539242	0.0	3		0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
TUGWPJJTQNLKCL-UHFFFAOYSA-N	CHEMBL487013	ADGRE2	gpcr	100.0	0.0174175741342535	0.0	2		1	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
DIXVUMFALGTULE-ALCCZGGFSA-N		ADGRE3	gpcr	9.27	0.0198275814638008	0.0	3		0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
UTERTIQWWDNHQO-UHFFFAOYSA-N		ADGRE3	gpcr	58.44	0.0195280285494069	0.0	3		0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
KPJKWKUDBQQILH-UHFFFAOYSA-N	CHEMBL3186773	ADGRE3	gpcr	2.12	0.018082452692417	0.0	2		1	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
DLHRPFVERCOHRS-UHFFFAOYSA-N		ADGRE4P	gpcr	129.0	0.0230563735358807	0.0	3		0	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
JTBPQCSRFUMUMH-UHFFFAOYSA-N		ADGRE4P	gpcr	81.82	0.0222457969561957	0.0	3		0	C1=CC=C(C(=C1)NC(=O)C2=CN=CC=C2)SC3=CC=C(C=C3)Cl
DIXVUMFALGTULE-ALCCZGGFSA-N		ADGRE4P	gpcr	9.27	0.0218058430672518	0.0	3		0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
FEDHEIMYWLVVRS-UHFFFAOYSA-N		ADGRE4P	gpcr	8.75	0.0210415338905423	0.0	3		0	CCN1CCOC(=O)C1CC(=O)NC2=CC(=C(C=C2)F)F
VOXZDWNPVJITMN-UHFFFAOYSA-N	CHEMBL412	ADGRE5	gpcr	524.0	0.0260210793653824	0.0	2		4	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
QMARCNKWRJFPOJ-UHFFFAOYSA-N	CHEMBL1409836	ADGRE5	gpcr	147.0	0.0251629116723655	0.0	2		21	CC1=CC=CC(=C1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)O
WZWBUKYWFYASHW-UHFFFAOYSA-N		ADGRE5	gpcr	108.0	0.0210538313222447	0.0	3		0	CCC1=CC=C(C=C1)CN2CCN(CC2)C(=O)CC3=CC=CC=C3
KOAZNFCSOAOVEQ-GHXNOFRVSA-N		ADGRF1	gpcr	75.7	0.0548427048379627	0.0	3		0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
TTXYDMVOVAJTCI-UHFFFAOYSA-N		ADGRF1	gpcr	114.0	0.0513736658480449	0.0	3		0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
OYVFYPVPBFPXSU-UHFFFAOYSA-N		ADGRF2P	gpcr	200.0	0.0728235455339879	0.0	3		0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
KOAZNFCSOAOVEQ-GHXNOFRVSA-N		ADGRF2P	gpcr	75.7	0.0684807583936552	0.0	3		0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
KPFCTSPVNYQSOW-UHFFFAOYSA-N		ADGRF2P	gpcr	3.07	0.0616881438574236	0.0	3		0	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C(=CC(=C3)[N+](=O)[O-])C#N
LFVYDUHHPGRLAT-UHFFFAOYSA-N	CHEMBL1586916	ADGRF2P	gpcr	77.3	0.0607070330408564	0.0	2		15	C1=CC(=CC=C1N)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
QFJCIRLUMZQUOT-HPLJOQBZSA-N	CHEMBL413	ADGRF3	gpcr	362.0	0.052501012151712	0.0	2		380	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
MGWUMZFAYGKELJ-JXMROGBWSA-N		ADGRF3	gpcr	29.05	0.0504855523912751	0.0	3		0	CSC1=CC=C(C=C1)C=CC(=O)C2=CC(=CC=C2)N
YPUVZYIIXPQIEK-UHFFFAOYSA-N		ADGRF3	gpcr	17.2	0.0501726233972058	0.0	3		0	C1C2CC3CC1CC(C2)(C3)C4=CSC(=N4)NC=C5C=C(C=CC5=O)Br
ORZIOOIMOACKMZ-UHFFFAOYSA-N		ADGRF3	gpcr	64.0	0.0480154561434654	0.0	3		0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
UAJBSGJYNKBQRW-CSKARUKUSA-N		ADGRF3	gpcr	200.0	0.0453500495477859	0.0	3		0	CCCCN1C(=O)C(=CC2=CC=CO2)SC1=S
FIDFPPCQIWKPRK-UHFFFAOYSA-N		ADGRF3	gpcr	19.48	0.0448812444201118	0.0	3		0	C1=CC=C(C(=C1)NC(=O)CSC2=CC=C(C=C2)Br)O
KOAZNFCSOAOVEQ-GHXNOFRVSA-N		ADGRF4	gpcr	75.7	0.0859053774037889	0.0	3		0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
GPQLHGCIAUEJQK-UHFFFAOYSA-N	CHEMBL78010	ADGRF4	gpcr	58.4	0.0750169183729569	0.0	2		47	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
HEFTZORMGMTRPG-UHFFFAOYSA-N		ADGRF4	gpcr	314.0	0.0740905032538905	0.0	3		0	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
NXJCRELRQHZBQA-UHFFFAOYSA-N	CHEMBL481049	ADGRF4	gpcr	84.59	0.0665079640378686	0.0	2		18	COC1=CC(=C2C=CC(=O)OC2=C1)OC
GRSZKDCOHSSIAJ-NTEUORMPSA-N		ADGRF4	gpcr	37.28	0.0556078227697383	0.0	3		0	C1=CC=C(C(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3Cl)F
XNZHJADQXXCSFV-OCCSQVGLSA-N	CHEMBL1892491	ADGRF5	gpcr	140.0	0.0643820896065693	0.0	2		3	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
SPABMCLDHGNLFQ-BJMVGYQFSA-N	CHEMBL1343143	ADGRF5	gpcr	114.0	0.0630332988081871	0.0	2		15	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
ATKADZVINWFQOE-SOFGYWHQSA-N	CHEMBL227400	ADGRG1	gpcr	151.0	0.0522944515295681	0.0	2		5	C1OC2=C(O1)C=C(C=C2)C=CC(=O)C3=CC=CC=C3
VNCNRGORRVUAOZ-UHFFFAOYSA-N	CHEMBL1871588	ADGRG1	gpcr	199.3	0.0385940341113145	0.0	2		11	C1=CSC(=C1)C=C2C(=O)NC(=O)NC2=O
IWOAIZJEQSPHST-UHFFFAOYSA-N		ADGRG1	gpcr	10.6	0.0350365934494933	0.0	3		0	CC1=CC(=CNNC2=NC3=CC=CC=C3S2)C=C(C1=O)C
KSWGVLALPBTFPF-UHFFFAOYSA-N		ADGRG1	gpcr	12.04	0.0349938325937019	0.0	3		0	CC1=CC(=C(C=C1)N2C(=O)CC(C2=O)SC3=CC=CC=C3C(=O)O)C
OZNHWVNFKJECRK-UHFFFAOYSA-N		ADGRG1	gpcr	66.8	0.0334790156914976	0.0	3		0	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
IBQMHBGFMLHHLE-UHFFFAOYSA-N	CHEMBL258764	ADGRG1	gpcr	126.0	0.0303078320249559	0.0	2		17	CCN(CC)CCCCCCCCOC(=O)C1=CC(=C(C(=C1)OC)OC)OC
OPDBGPSIRGGXRM-UHFFFAOYSA-N		ADGRG3	gpcr	45.19	0.0289622588645438	0.0	3		0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
ATKADZVINWFQOE-SOFGYWHQSA-N	CHEMBL227400	ADGRG3	gpcr	151.0	0.0266524943812979	0.0	2		5	C1OC2=C(O1)C=C(C=C2)C=CC(=O)C3=CC=CC=C3
JKNIBRIKXPAWMV-UHFFFAOYSA-N		ADGRG3	gpcr	71.43	0.0263747889635814	0.0	3		0	COC(=O)C1=CC=C(C=C1)NC(=O)CSC2=CC(=CC=C2)Cl
HLRFUTRZDZOVDA-UHFFFAOYSA-N	CHEMBL1722204	ADGRG3	gpcr	200.0	0.024987161250356	0.0	2		2	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
BAJVTNDELBXKDE-UHFFFAOYSA-N	CHEMBL5493845	ADGRG3	gpcr	87.6	0.0245789064938767	0.0	2		1	C1=COC(=C1)C(=O)C2=COC3=C2C=C(C=C3)O
NXJCRELRQHZBQA-UHFFFAOYSA-N	CHEMBL481049	ADGRG4	gpcr	84.59	0.2481490872827266	0.0	2		18	COC1=CC(=C2C=CC(=O)OC2=C1)OC
OYVFYPVPBFPXSU-UHFFFAOYSA-N		ADGRG4	gpcr	200.0	0.2259229642910066	0.0	3		0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
DGQLVPJVXFOQEV-NGOCYOHBSA-N	CHEMBL1366408	ADGRG4	gpcr	40.6	0.221891668100024	0.0	2		37	CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
GPQLHGCIAUEJQK-UHFFFAOYSA-N	CHEMBL78010	ADGRG4	gpcr	58.4	0.221019819823603	0.0	2		47	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
RVWWDDKOKZXKCJ-UHFFFAOYSA-N		ADGRG4	gpcr	54.0	0.2185409941397395	0.0	3		0	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
BCFHDYKCMZOQQV-UHFFFAOYSA-N		ADGRG4	gpcr	52.1	0.2146654244172108	0.0	3		0	CC1=C(NC2=C1C=C(C=C2)OCC3=CC=CC=C3)C(=O)N4CCN(CC4)C
YJRJARYHRGMBPL-UHFFFAOYSA-N		ADGRG4	gpcr	111.64	0.2144069896173472	0.0	3		0	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC4=CC(=CC=C4)Br
MSSAIEVACVNALM-UHFFFAOYSA-N		ADGRG4	gpcr	145.0	0.1910174066569396	0.0	3		0	C1CCCCCC2(CCCCC1)OCC(O2)CN3CCCC3
KCNPGHAGVLUKKB-UHFFFAOYSA-N		ADGRG4	gpcr	85.4	0.1885707104949625	0.0	3		0	CCC1=CC(=O)OC2=CC(=C(C=C12)OC)OC
QJXHXKPITHZZRI-UHFFFAOYSA-N		ADGRG4	gpcr	49.47	0.1872893489863801	0.0	3		0	CCC1CCC2=C(C1)C=C(S2)C(=O)NC(C)C3=CC=NC=C3
GHRQDNKXGRCCNU-UHFFFAOYSA-N	CHEMBL1407106	ADGRG4	gpcr	200.0	0.1853941343570229	0.0	2		3	C1=COC(=C1)CN2C(=CC(=O)NC2=O)N
KJYYVKYSBVQXBM-NVNXTCNLSA-N		ADGRG4	gpcr	439.0	0.1828262485652382	0.0	3		0	CC(=NNC(=S)N)C12CC3CC(C1)CC(C3)C2
SPABMCLDHGNLFQ-BJMVGYQFSA-N	CHEMBL1343143	ADGRG4	gpcr	114.0	0.1791386999633178	0.0	2		15	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
ATKADZVINWFQOE-SOFGYWHQSA-N	CHEMBL227400	ADGRG5	gpcr	151.0	0.0344114370060965	0.0	2		5	C1OC2=C(O1)C=C(C=C2)C=CC(=O)C3=CC=CC=C3
BAJVTNDELBXKDE-UHFFFAOYSA-N	CHEMBL5493845	ADGRG5	gpcr	87.6	0.0304133715952211	0.0	2		1	C1=COC(=C1)C(=O)C2=COC3=C2C=C(C=C3)O
DLHRPFVERCOHRS-UHFFFAOYSA-N		ADGRG5	gpcr	129.0	0.0271591690566181	0.0	3		0	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
YFAUCIKFNUPZKN-UHFFFAOYSA-N		ADGRG5	gpcr	200.0	0.0246792135533627	0.0	3		0	CCCCNC1=C(C(=O)OC(=C1)C)C(=O)C
QDFJDWXCNLXZGJ-UHFFFAOYSA-N		ADGRG7	gpcr	191.0	0.0294730224925414	0.0	3		0	CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)OC)C3=C(C=CC(=C3)OC)OC
FZYOVNIOYYPUPY-AMSHPFMVSA-N		ADGRL1	gpcr	24.3	0.0588626022661142	0.0	3		0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
MRLAJFUGSBSFDH-UHFFFAOYSA-N	CHEMBL1332055	ADGRL1	gpcr	140.0	0.0480691015504224	0.0	2		4	C1C2=CC=CC=C2C(=N1)N.Cl
